season,week,norm,player,pos,value,snapshot_date
2026,3,khalil shakir,Khalil Shakir,WR,427.0,2026-09-25
2026,3,dallas goedert,Dallas Goedert,TE,427.0,2026-09-25
2026,3,jalen hurts,Jalen Hurts,QB,2280.0,2026-09-25
2026,3,jaylen waddle,Jaylen Waddle,WR,3266.0,2026-09-25
2026,3,kayshon boutte,Kayshon Boutte,WR,119.0,2026-09-25
2026,3,bijan robinson,Bijan Robinson,RB,9778.0,2026-09-25
2026,3,amon ra st brown,Amon-Ra St. Brown,WR,8866.0,2026-09-25
2026,3,rashid shaheed,Rashid Shaheed,WR,111.0,2026-09-25
2026,3,kyler murray,Kyler Murray,QB,496.0,2026-09-25
2026,3,javonte williams,Javonte Williams,RB,4659.0,2026-09-25
2026,3,xavier worthy,Xavier Worthy,WR,488.0,2026-09-25
2026,3,tyler warren,Tyler Warren,TE,2325.0,2026-09-25
2026,3,jacory croskey merritt,Jacory Croskey-Merritt,RB,774.0,2026-09-25
2026,3,bo nix,Bo Nix,QB,636.0,2026-09-25
2026,3,romeo doubs,Romeo Doubs,WR,432.0,2026-09-25
2026,3,ravens,Ravens,DEF,,2026-09-25
2026,3,steelers,Steelers,DEF,,2026-09-25
2026,3,cairo santos,Cairo Santos,K,,2026-09-25
2026,3,ers,49ers,DEF,,2026-09-25
2026,3,andy borregales,Andy Borregales,K,,2026-09-25
2026,3,jalen mcmillan,Jalen McMillan,WR,,2026-09-25
2026,3,ray davis,Ray Davis,RB,,2026-09-25
2026,3,jakobi lane,Ja'Kobi Lane,WR,,2026-09-25
2026,3,james conner,James Conner,RB,,2026-09-25
2026,3,justice hill,Justice Hill,RB,,2026-09-25
2026,3,jake bates,Jake Bates,K,,2026-09-25
2026,3,will reichard,Will Reichard,K,,2026-09-25
2026,3,harrison mevis,Harrison Mevis,K,,2026-09-25
2026,3,tyler loop,Tyler Loop,K,,2026-09-25
2026,3,patriots,Patriots,DEF,,2026-09-25
2026,3,cooper kupp,Cooper Kupp,WR,,2026-09-25
2026,3,cam little,Cam Little,K,,2026-09-25
2026,3,vikings,Vikings,DEF,,2026-09-25
2026,3,jahmyr gibbs,Jahmyr Gibbs,RB,10271.0,2026-09-25
2026,3,christian mccaffrey,Christian McCaffrey,RB,8373.0,2026-09-25
2026,3,caleb williams,Caleb Williams,QB,1518.0,2026-09-25
2026,3,drake london,Drake London,WR,4478.0,2026-09-25
2026,3,dj moore,DJ Moore,WR,2268.0,2026-09-25
2026,3,tyler allgeier,Tyler Allgeier,RB,222.0,2026-09-25
2026,3,blake corum,Blake Corum,RB,1069.0,2026-09-25
2026,3,cam skattebo,Cam Skattebo,RB,2986.0,2026-09-25
2026,3,stefon diggs,Stefon Diggs,WR,1223.0,2026-09-25
2026,3,kyle pitts,Kyle Pitts Sr.,TE,665.0,2026-09-25
2026,3,jason myers,Jason Myers,K,,2026-09-25
2026,3,eagles,Eagles,DEF,,2026-09-25
2026,3,najee harris,Najee Harris,RB,,2026-09-25
2026,3,drake maye,Drake Maye,QB,1440.0,2026-09-25
2026,3,brian robinson,Brian Robinson,RB,85.0,2026-09-25
2026,3,woody marks,Woody Marks,RB,352.0,2026-09-25
2026,3,jaxson dart,Jaxson Dart,QB,,2026-09-25
2026,3,mike evans,Mike Evans,WR,1848.0,2026-09-25
2026,3,joe burrow,Joe Burrow,QB,2195.0,2026-09-25
2026,3,bhayshul tuten,Bhayshul Tuten,RB,2350.0,2026-09-25
2026,3,seahawks,Seahawks,DEF,,2026-09-25
2026,3,keaton mitchell,Keaton Mitchell,RB,52.0,2026-09-25
2026,3,dk metcalf,DK Metcalf,WR,1092.0,2026-09-25
2026,3,tyjae spears,Tyjae Spears,RB,173.0,2026-09-25
2026,3,brian thomas,Brian Thomas Jr.,WR,668.0,2026-09-25
2026,3,sam laporta,Sam LaPorta,TE,2028.0,2026-09-25
2026,3,chris godwin,Chris Godwin Jr.,WR,696.0,2026-09-25
2026,3,chris rodriguez,Chris Rodriguez Jr.,RB,63.0,2026-09-25
2026,3,broncos,Broncos,DEF,,2026-09-25
2026,3,tucker kraft,Tucker Kraft,TE,1516.0,2026-09-25
2026,3,rj harvey,RJ Harvey,RB,720.0,2026-09-25
2026,3,rico dowdle,Rico Dowdle,RB,842.0,2026-09-25
2026,3,jonathan taylor,Jonathan Taylor,RB,8752.0,2026-09-25
2026,3,michael pittman,Michael Pittman Jr.,WR,463.0,2026-09-25
2026,3,tee higgins,Tee Higgins,WR,2925.0,2026-09-25
2026,3,courtland sutton,Courtland Sutton,WR,533.0,2026-09-25
2026,3,george pickens,George Pickens,WR,4120.0,2026-09-25
2026,3,ladd mcconkey,Ladd McConkey,WR,2870.0,2026-09-25
2026,3,mike washington,Mike Washington Jr.,RB,129.0,2026-09-25
2026,3,jordan addison,Jordan Addison,WR,479.0,2026-09-25
2026,3,kaimi fairbairn,Ka'imi Fairbairn,K,,2026-09-25
2026,3,josh downs,Josh Downs,WR,1074.0,2026-09-25
2026,3,jadarian price,Jadarian Price,RB,1835.0,2026-09-25
2026,3,alec pierce,Alec Pierce,WR,310.0,2026-09-25
2026,3,wandale robinson,Wan'Dale Robinson,WR,198.0,2026-09-25
2026,3,texans,Texans,DEF,,2026-09-25
2026,3,tony pollard,Tony Pollard,RB,797.0,2026-09-25
2026,3,kc concepcion,KC Concepcion,WR,464.0,2026-09-25
2026,3,jk dobbins,J.K. Dobbins,RB,567.0,2026-09-25
2026,3,justin herbert,Justin Herbert,QB,1278.0,2026-09-25
2026,3,dezhaun stribling,De'Zhaun Stribling,WR,50.0,2026-09-25
2026,3,kenny gainwell,Kenny Gainwell,RB,281.0,2026-09-25
2026,3,kyren williams,Kyren Williams,RB,4200.0,2026-09-25
2026,3,isiah pacheco,Isiah Pacheco,RB,,2026-09-25
2026,3,cameron dicker,Cameron Dicker,K,,2026-09-25
2026,3,rams,Rams,DEF,,2026-09-25
2026,3,makai lemon,Makai Lemon,WR,267.0,2026-09-25
2026,3,brandon aubrey,Brandon Aubrey,K,,2026-09-25
2026,3,harold fannin,Harold Fannin Jr.,TE,607.0,2026-09-25
2026,3,jayden reed,Jayden Reed,WR,99.0,2026-09-25
2026,3,jordan mason,Jordan Mason,RB,385.0,2026-09-25
2026,3,quinshon judkins,Quinshon Judkins,RB,1739.0,2026-09-25
2026,3,james cook,James Cook III,RB,7230.0,2026-09-25
2026,3,jamarr chase,Ja'Marr Chase,WR,9076.0,2026-09-25
2026,3,rhamondre stevenson,Rhamondre Stevenson,RB,1143.0,2026-09-25
2026,3,jameson williams,Jameson Williams,WR,1313.0,2026-09-25
2026,3,devon achane,De'Von Achane,RB,5551.0,2026-09-25
2026,3,omarion hampton,Omarion Hampton,RB,5007.0,2026-09-25
2026,3,jayden daniels,Jayden Daniels,QB,429.0,2026-09-25
2026,3,emeka egbuka,Emeka Egbuka,WR,2296.0,2026-09-25
2026,3,chase brown,Chase Brown,RB,6273.0,2026-09-25
2026,3,quentin johnston,Quentin Johnston,WR,405.0,2026-09-25
2026,3,nico collins,Nico Collins,WR,4100.0,2026-09-25
2026,3,marshawn lloyd,MarShawn Lloyd,RB,464.0,2026-09-25
2026,3,carnell tate,Carnell Tate,WR,731.0,2026-09-25
2026,3,marvin harrison,Marvin Harrison Jr.,WR,660.0,2026-09-25
2026,3,puka nacua,Puka Nacua,WR,7805.0,2026-09-25
2026,3,jonathon brooks,Jonathon Brooks,RB,109.0,2026-09-25
2026,3,rome odunze,Rome Odunze,WR,1030.0,2026-09-25
2026,3,rashee rice,Rashee Rice,WR,2726.0,2026-09-25
2026,3,luther burden,Luther Burden III,WR,1227.0,2026-09-25
2026,3,terry mclaurin,Terry McLaurin,WR,978.0,2026-09-25
2026,3,colston loveland,Colston Loveland,TE,1298.0,2026-09-25
2026,3,lamar jackson,Lamar Jackson,QB,3676.0,2026-09-25
2026,3,malik nabers,Malik Nabers,WR,3595.0,2026-09-25
2026,3,travis etienne,Travis Etienne Jr.,RB,1985.0,2026-09-25
2026,3,aj brown,A.J. Brown,WR,2307.0,2026-09-25
2026,3,saquon barkley,Saquon Barkley,RB,5214.0,2026-09-25
